ID,Value,Category,Score
213,708.02,D,43
214,291.09,C,72
215,85.92,D,91
216,468.80,D,49
217,484.94,D,53
218,25.15,E,66
219,255.57,A,82
220,546.00,C,91
221,249.44,B,58
222,192.68,B,79
223,671.17,D,76
224,636.54,C,45
225,386.73,A,53
226,88.93,A,42
227,48.59,E,18
228,950.55,C,71
229,931.78,C,81
230,563.03,D,80
231,394.88,C,37
232,634.27,E,92
233,65.63,D,47
234,593.41,C,53
235,71.55,A,80
236,674.37,C,22
237,979.66,E,88
238,288.51,A,94
239,181.13,E,93
240,9.11,E,33
241,496.89,D,19
242,484.66,A,27
243,875.66,C,91
244,799.39,C,33
245,201.18,E,54
246,58.32,E,60
247,544.22,D,4
248,406.90,D,33
249,224.02,A,86
250,14.61,C,7
251,722.19,E,11
252,494.21,A,38
253,36.82,A,34
254,605.66,D,95
255,722.55,B,21
256,902.51,A,89
257,639.00,B,60
258,772.09,C,57
259,274.01,D,41
260,813.04,E,61
261,190.61,B,54
262,530.81,B,40
263,226.44,C,60
264,43.82,D,0
265,692.75,E,20
266,556.39,E,61
267,728.62,A,88
268,191.73,D,26
269,397.81,C,5
270,950.02,E,36
271,842.08,E,81
272,911.77,E,52
273,449.32,A,24
274,906.16,C,78
275,84.80,D,86
276,775.14,B,78
277,728.32,C,68
278,487.10,E,90
279,609.71,E,84
280,119.89,D,80
281,595.68,B,9
282,645.50,B,87
283,292.48,B,43
284,353.44,C,32
285,860.43,B,49
286,40.82,C,14
287,238.00,A,82
288,119.52,A,67
289,474.68,B,75
290,376.83,E,47
291,882.80,B,91
292,74.06,D,82
293,968.92,E,48
294,759.99,B,51
295,552.46,B,5
296,592.13,C,61
297,796.77,D,0
298,27.44,A,28
299,687.85,B,87
300,408.44,B,90
301,209.19,A,80
302,481.33,A,93
303,338.21,E,9
304,993.35,B,55
305,92.41,B,29
306,191.96,E,1
307,92.30,B,70
308,219.67,E,27
309,221.10,A,15
310,261.76,C,71
311,297.84,C,38
312,504.09,E,0
313,511.68,C,87
314,418.96,D,11
315,301.44,B,33
316,716.53,A,2
317,421.11,D,67
318,46.58,E,62
319,478.82,D,90
320,259.35,B,95
321,435.73,B,31
322,739.92,A,96
323,139.25,A,63
324,727.04,C,61
325,79.68,D,99
326,615.18,B,99
327,809.84,E,48
328,317.10,C,52
329,819.22,E,85
330,536.66,E,18
331,82.76,D,61
332,308.03,D,84
333,894.40,D,17
334,811.43,D,43
335,678.50,D,99
336,275.32,B,98
337,696.74,A,78
338,721.20,E,40
339,917.04,B,77
340,62.85,B,10
341,346.24,A,16
342,56.43,B,34
343,986.90,D,14
344,416.62,B,58
345,709.15,A,64
346,560.72,E,80
347,63.15,E,45
348,347.65,E,42
349,459.03,B,4
350,79.51,A,49
351,65.01,B,48
352,120.74,A,74
353,703.38,B,16
354,875.75,D,69
355,636.10,E,17
356,472.41,D,35
357,402.43,A,64
358,827.68,D,90
359,78.10,A,95
360,446.28,E,57
361,17.59,E,76
362,257.87,D,76
363,403.54,A,32
364,525.07,B,99
365,281.75,A,100
366,65.18,B,1
367,442.89,B,11
368,766.99,C,91
369,571.78,A,35
370,175.23,A,31
371,524.95,B,80
372,160.26,A,88
373,168.74,C,27
374,911.30,E,72
375,164.30,D,29
376,937.85,D,57
377,434.45,A,35
378,56.95,B,14
379,438.41,C,60
380,912.95,B,13
381,709.38,C,91
382,245.21,D,29
383,619.56,E,54
384,41.54,A,86
385,817.77,B,22
386,575.48,B,67
387,294.89,B,41
388,625.80,D,87
389,365.81,C,9
390,398.28,B,3
391,806.10,C,7
392,595.29,B,16
393,362.48,D,27
394,334.74,A,90
395,698.15,E,38
396,987.90,B,0
397,535.87,B,84
398,939.23,D,97
399,957.48,E,56
400,979.53,C,15
401,649.84,B,87
402,577.15,C,58
403,330.78,E,59
404,313.49,B,77
405,382.27,D,52
406,212.53,A,82
407,659.09,C,84
408,37.42,D,74
409,157.84,B,14
410,9.16,B,64
411,474.47,C,51
412,870.47,B,92
413,878.66,B,38
414,258.76,D,97
415,150.83,E,66
416,572.56,A,53
417,274.56,D,49
418,992.47,E,60
419,967.90,A,21
420,3.93,C,87
421,601.51,E,63
422,371.24,E,34
423,672.11,D,19
424,50.40,E,60
425,78.35,C,89
426,218.77,A,6
427,557.59,B,30
428,140.99,C,53
429,597.64,B,31
430,438.36,E,51
431,82.04,C,87
432,67.95,C,55
433,637.60,E,20
434,305.53,E,48
435,457.34,C,99
436,281.23,A,66
437,426.75,C,17
438,821.88,B,55
439,15.18,D,43
440,880.41,C,8
441,444.88,D,22
442,340.71,A,66
443,296.49,E,52
444,86.02,C,15
445,98.63,E,1
446,559.76,E,51
447,674.85,C,15
448,833.00,D,58
449,391.74,D,56
450,216.99,C,61
451,940.92,D,94
452,724.52,C,63
453,573.62,D,100
454,374.45,E,35
455,926.26,E,4
456,990.36,A,5
457,869.65,B,79
458,358.80,E,23
459,234.75,C,26
460,676.32,D,88
461,942.30,D,27
462,22.75,D,78
463,212.13,C,61
464,749.82,E,79
465,214.56,D,49
466,370.43,A,69
467,94.13,A,68
468,136.65,C,48
469,7.10,E,68
470,34.81,C,5
471,773.77,D,7
472,361.51,A,82
473,962.86,E,57
474,855.92,B,74
475,997.81,E,37
476,485.03,D,89
477,25.88,E,7
478,209.62,B,82
479,988.38,D,85
480,315.80,A,44
481,912.44,C,49
482,531.18,A,57
483,656.72,E,83
484,167.75,E,34
485,740.21,E,48
486,119.24,A,29
487,761.71,C,71
488,668.29,C,29
489,102.90,E,94
490,227.55,C,76
491,177.14,D,41
492,898.27,B,73
493,869.78,C,100
494,418.70,E,0
495,704.54,D,72
496,413.77,E,35
497,171.15,E,33
498,881.61,C,36
499,911.84,A,1
500,204.44,E,77
501,723.42,B,95
502,966.88,D,8
503,626.71,A,16
504,924.42,A,54
505,710.13,B,32
506,274.23,E,83
507,98.70,B,15
508,632.51,C,50
509,895.95,E,17
510,322.29,E,11
511,91.95,A,55
512,36.02,A,93
513,326.46,B,3
514,205.48,E,47
515,940.80,B,46
516,65.77,A,58
517,703.42,A,29
518,803.38,C,100
519,287.44,C,88
520,930.69,A,95
521,946.38,B,20
522,507.44,C,95
523,464.08,C,67
524,697.97,C,32
525,463.76,B,24
526,224.96,C,38
527,57.34,B,34
528,400.42,C,96
529,963.26,B,68
530,569.70,C,92
531,796.73,D,85
532,245.03,A,58
533,676.25,E,52
534,564.69,C,62
535,973.23,D,89
536,705.69,C,97
537,746.59,E,54
538,850.63,B,9
539,240.75,A,45
540,27.92,C,86
541,813.39,E,0
542,291.19,D,57
543,202.36,C,15
544,303.79,A,29
545,289.90,E,20
546,799.39,C,2
547,555.33,B,79
548,735.21,B,38
549,160.89,B,5
550,972.77,E,69
551,309.08,E,40
552,49.01,A,91
553,648.99,D,76
554,389.95,A,55
555,517.51,A,11
556,937.57,D,12
557,539.23,A,48
558,541.61,D,53
559,595.86,A,69
560,936.24,C,24
561,186.54,E,17
562,765.63,C,1
563,132.93,A,78
564,11.50,A,44
565,939.02,B,72
566,206.94,D,15
567,420.36,E,56
568,894.30,A,30
569,377.28,D,25
570,602.99,B,99
571,300.97,E,26
572,529.75,E,41
573,180.27,D,5
574,388.36,A,91
575,623.54,D,95
576,685.20,B,31
577,148.01,C,93
578,641.97,D,24
579,467.01,C,65
580,853.16,D,76
581,90.62,B,59
582,984.72,D,5
583,493.04,C,39
584,82.22,B,64
585,623.53,D,58
586,589.19,B,55
587,863.43,D,19
588,910.41,D,2
589,658.37,D,77
590,227.73,E,70
591,358.52,C,59
592,899.49,C,49
593,749.80,C,12
594,679.03,C,68
595,935.90,D,81
596,232.48,C,32
597,454.53,D,53
598,205.53,E,23
599,789.94,D,100
600,16.69,E,11
601,835.92,B,92
602,167.05,C,32
603,315.91,A,24
604,27.40,D,77
605,175.15,E,88
606,106.19,B,88
607,615.86,D,91
608,159.29,B,59
609,472.83,A,53
610,456.70,B,20
611,566.29,B,8
612,624.99,B,37
613,387.80,A,6
614,928.38,E,23
615,921.62,B,33
616,387.91,C,95
617,566.11,D,49
618,933.07,C,34
619,819.12,D,31
620,917.90,C,8
621,435.40,D,25
622,915.40,A,18
623,318.89,B,27
624,82.19,C,64
625,935.72,B,71
626,7.72,B,85
627,478.57,D,47
628,361.47,E,69
629,798.13,A,56
630,646.35,C,49
631,925.99,C,19
632,154.96,C,39
633,91.56,A,91
634,767.46,D,52
635,251.64,C,37
636,353.89,E,54
637,138.67,C,74
638,582.74,B,78
639,638.22,B,8
640,69.62,D,73
641,566.04,A,6
642,560.73,C,69
643,613.78,C,69
644,460.94,A,29
645,573.28,C,5
646,801.82,D,80
647,99.77,A,65
648,92.96,C,82
649,78.06,D,43
650,874.74,A,42
651,380.51,A,11
652,294.06,A,94
653,133.39,C,91
654,614.51,D,64
655,83.71,A,75
656,799.46,A,49
657,476.52,C,100
658,645.74,C,94
659,307.01,E,25
660,682.27,D,98
661,333.21,A,61
662,162.52,D,46
663,901.66,B,24
664,892.04,B,38
665,277.44,C,49
666,286.59,B,15
667,24.54,C,60
668,509.37,C,88
669,692.52,D,46
670,992.43,D,89
671,520.75,D,48
672,190.73,E,49
673,862.26,D,45
674,360.32,D,47
675,773.44,E,65
676,391.49,E,52
677,305.69,B,83
678,248.59,B,26
679,436.11,A,7
680,593.78,B,82
681,290.43,A,80
682,219.13,C,90
683,866.01,D,19
684,626.53,C,73
685,57.84,B,70
686,968.23,D,24
687,18.96,D,66
688,22.86,A,91
689,500.31,A,35
690,769.44,B,61
691,390.63,C,100
692,568.50,A,42
693,772.52,E,49
694,87.76,D,79
695,388.73,D,39
696,430.85,C,17
697,989.92,E,39
698,581.78,B,31
699,579.71,B,39
700,291.85,D,34
701,231.61,A,59
702,231.77,B,75
703,784.43,B,68
704,741.35,B,16
705,322.21,B,97
706,687.41,B,3
707,121.46,E,20
708,161.33,B,26
709,421.97,D,96
710,849.30,A,73
711,72.85,C,97
712,497.73,D,52
713,550.08,E,14
714,261.33,B,32
715,188.96,E,11
716,235.40,B,80
717,179.94,D,42
718,435.32,D,92
719,937.65,D,100
720,516.24,B,96
721,227.20,C,81
722,542.93,B,93
723,956.12,C,48
724,35.60,B,73
725,128.37,C,68
726,769.73,D,78
727,118.49,D,23
728,65.17,E,86
729,392.45,B,62
730,478.92,E,62
731,663.99,E,56
732,36.55,A,61
733,918.65,D,65
734,942.42,D,76
735,574.81,D,9
736,540.56,E,40
737,382.44,E,55
738,303.49,E,60
739,603.38,A,3
740,189.36,C,68
741,877.10,D,96
742,413.28,E,34
743,606.79,C,94
744,119.72,D,87
745,263.03,A,78
746,987.20,B,39
747,942.49,A,60
748,203.90,D,67
749,352.70,D,47
750,56.12,B,93
751,622.57,C,20
752,67.30,B,57
753,896.93,C,94
754,762.92,C,34
755,291.58,E,40
756,557.99,E,39
757,185.68,C,61
758,616.09,B,34
759,884.11,A,50
760,624.94,C,75
761,760.84,E,92
762,938.55,A,91
763,169.12,A,7
764,313.57,E,47
765,864.31,A,74
766,150.44,B,46
767,936.91,E,22
768,845.30,E,89
769,190.76,A,70
770,640.66,E,21
771,857.59,E,89
772,195.79,A,18
773,984.22,C,62
774,855.92,A,70
775,690.25,C,0
776,626.96,B,79
777,152.25,A,53
778,217.87,C,3
779,398.78,D,68
780,631.25,D,75
781,694.79,E,19
782,294.85,E,33
783,39.65,A,21
784,903.51,A,88
785,641.27,D,9
786,98.68,C,4
787,394.67,E,96
788,490.39,E,26
789,948.43,A,71
790,784.38,E,52
791,338.48,C,82
792,298.93,E,17
793,166.75,B,40
794,145.04,B,78
795,543.21,B,90
796,3.06,C,16
797,923.52,C,24
798,774.74,A,83
799,665.72,C,19
800,140.09,C,38
801,166.45,C,79
802,717.71,D,79
803,435.31,A,25
804,235.81,E,94
805,119.74,A,74
806,216.04,A,66
807,129.53,B,60
808,349.09,E,36
809,622.12,B,14
810,763.95,E,36
811,445.86,D,65
812,115.50,A,8
813,263.93,E,83
814,54.47,C,38
815,325.76,A,31
816,762.51,D,48
817,747.03,B,74
818,579.10,D,88
819,891.99,C,60
820,525.95,E,70
821,677.72,D,21
822,771.42,D,47
823,888.57,B,49
824,223.26,E,25
825,169.66,A,85
826,255.48,E,72
827,297.32,C,98
828,233.48,E,91
829,521.13,E,38
830,372.72,D,51
831,665.51,B,27
832,85.98,E,29
833,334.64,D,4
834,684.70,E,82
835,408.57,D,67
836,157.71,A,18
837,205.24,E,69
838,405.86,A,70
839,710.86,C,35
840,894.97,A,47
841,294.94,A,81
842,834.24,B,92
843,814.27,C,49
844,258.05,E,72
845,522.84,E,77
846,699.12,B,7
847,757.30,E,20
848,795.18,D,53
849,771.84,E,40
850,903.62,D,10
851,565.17,D,76
852,40.63,B,98
853,641.55,C,36
854,96.32,D,24
855,655.73,C,73
856,3.63,A,74
857,797.86,E,30
858,562.08,E,4
859,229.31,B,61
860,650.83,E,96
861,178.57,C,26
862,77.65,D,49
863,533.79,E,59
864,997.16,B,37
865,1.41,E,23
866,348.39,C,86
867,934.58,D,33
868,510.07,B,13
869,534.09,C,45
870,776.89,A,10
871,856.81,E,60
872,254.34,B,59
873,60.54,B,28
874,792.60,D,57
875,136.38,A,81
876,63.74,C,30
877,5.84,C,39
878,194.97,B,66
879,684.93,B,83
880,358.57,D,7
881,611.16,A,78
882,501.26,D,1
883,385.13,E,13
884,482.58,C,79
885,271.29,B,58
886,505.14,E,66
887,935.61,D,7
888,905.03,E,58
889,853.10,D,0
890,989.05,A,99
891,758.86,B,32
892,398.55,C,61
893,501.71,E,30
894,760.31,E,21
895,932.66,E,30
896,361.46,D,10
897,900.20,E,76
898,768.20,E,77
899,13.75,D,45
900,246.96,D,2
901,326.86,D,53
902,785.70,E,97
903,315.47,C,20
904,668.59,E,65
905,78.61,B,95
906,798.85,B,66
907,609.83,A,16
908,850.66,A,98
909,45.59,C,8
910,611.81,B,4
911,507.76,A,55
912,255.92,B,59
913,323.48,A,89
914,582.05,C,41
915,590.33,A,83
916,143.68,B,98
917,25.36,B,78
918,256.49,E,49
919,483.85,E,57
920,169.64,B,25
921,753.02,E,34
922,205.95,B,96
923,997.19,B,0
924,447.84,D,18
925,230.86,D,93
926,350.48,D,69
927,429.64,D,87
928,399.67,D,97
929,709.00,B,24
930,891.44,B,1
931,234.74,B,35
932,906.22,B,15
933,716.48,C,27
934,851.70,B,73
935,314.50,A,5
936,86.97,A,80
937,497.48,C,87
938,77.89,A,92
939,332.66,D,1
940,472.55,C,15
941,547.76,A,49
942,299.98,A,78
943,169.80,D,88
944,610.75,E,60
945,888.76,A,33
946,181.32,C,60
947,21.08,A,37
948,341.43,C,8
949,209.84,B,36
950,460.45,C,49
951,233.35,E,40
952,895.16,E,45
953,750.50,D,88
954,859.26,B,62
955,154.85,B,81
956,195.87,A,28
957,996.33,B,55
958,728.83,C,84
959,591.08,C,59
960,311.93,B,86
961,120.79,D,59
962,923.00,A,8
963,399.90,A,94
964,551.61,E,16
965,101.00,D,80
966,340.67,E,84
967,300.65,C,4
968,971.77,C,46
969,996.20,B,11
970,796.61,E,94
971,479.86,E,24
972,756.46,C,45
973,496.55,C,78
974,458.07,D,75
975,513.60,C,85
976,616.80,D,34
977,196.34,A,84
978,86.32,C,87
979,638.41,B,50
980,788.78,A,94
981,401.44,E,55
982,913.66,E,47
983,73.19,D,57
984,304.21,B,13
985,973.61,E,15
986,152.29,C,13
987,482.97,C,9
988,810.66,E,6
989,887.24,E,40
990,861.63,E,62
991,245.12,A,30
992,427.02,B,63
993,936.72,E,17
994,724.93,A,43
995,171.87,E,100
996,569.07,A,55
997,684.15,D,60
998,223.79,B,56
999,386.34,D,35
1000,959.68,C,28
1001,486.58,B,21
1002,179.98,E,70
1003,432.28,E,64
1004,901.43,B,70
1005,715.93,C,22
1006,490.20,A,64
1007,758.00,E,63
1008,715.09,B,100
1009,204.96,E,87
1010,518.49,C,21
1011,961.96,B,8
1012,10.49,C,57
1013,42.21,B,14
1014,985.12,A,86
1015,452.58,E,97
1016,439.83,A,6
1017,635.10,E,76
1018,520.77,D,19
1019,129.81,B,5
1020,573.95,B,77
1021,503.32,E,94
1022,923.56,E,1
1023,858.35,C,32
1024,662.71,A,59
1025,161.82,D,24
1026,314.42,B,92
1027,274.47,D,24
1028,877.23,D,93
1029,921.80,A,96
1030,696.70,A,57
1031,269.87,D,59
1032,795.64,A,93
1033,76.36,E,49
1034,74.71,E,32
1035,514.74,B,63
1036,70.15,B,8
1037,837.68,C,73
1038,677.95,C,4
1039,453.86,D,60
1040,529.90,A,32
1041,962.46,A,58
1042,15.11,C,67
1043,932.92,D,48
1044,485.78,C,8
1045,442.65,B,39
1046,947.77,D,24
1047,9.43,A,72
1048,149.00,E,11
1049,944.20,C,56
1050,866.32,E,3
1051,232.01,D,94
1052,787.07,D,3
1053,895.77,A,42
1054,624.54,A,23
1055,950.42,D,14
1056,347.07,B,73
1057,762.57,C,66
1058,976.65,D,32
1059,74.13,A,98
1060,631.63,B,49
1061,405.12,A,40
1062,199.96,A,34
1063,302.58,D,78
1064,931.88,E,13
1065,339.82,A,45
1066,767.80,C,60
1067,530.33,D,68
1068,183.25,C,32
1069,61.76,C,74
1070,388.75,D,56
1071,569.01,E,49
1072,538.13,E,8
1073,406.02,B,23
1074,477.80,D,95
1075,847.39,E,54
1076,355.97,C,23
1077,767.42,E,67
1078,606.57,B,65
1079,293.30,C,63
1080,681.98,C,79
1081,310.39,D,23
1082,510.25,E,89
1083,48.66,A,60
1084,940.09,D,68
1085,463.07,B,33
1086,222.70,C,70
1087,257.17,C,30
1088,279.66,B,18
1089,867.22,C,8
1090,332.21,B,47
1091,3.42,E,79
1092,502.31,A,45
1093,989.34,E,91
1094,461.64,D,12
1095,196.79,A,14
1096,294.81,B,80
1097,941.67,C,36
1098,262.12,D,31
1099,774.24,A,37
1100,454.04,B,24
1101,899.44,E,60
1102,5.16,C,16
1103,707.45,E,90
1104,977.26,C,99
1105,988.83,D,58
1106,868.03,D,49
1107,617.34,A,46
1108,960.75,E,94
1109,639.52,C,15
1110,941.44,E,52
1111,991.92,B,66
1112,323.63,C,18
1113,598.50,C,9
1114,949.18,A,55
1115,187.30,C,74
1116,786.04,A,89
1117,506.61,E,83
1118,499.00,E,89
1119,108.01,E,86
1120,82.16,B,49
1121,317.87,E,92
1122,337.61,B,5
1123,888.83,B,61
1124,949.44,E,70
1125,873.40,E,82
1126,523.06,C,19
1127,64.34,A,16
1128,798.59,A,37
1129,915.56,E,43
1130,666.46,C,7
1131,359.18,C,69
1132,864.35,C,0
1133,500.99,A,78
1134,10.46,E,64
1135,406.53,D,48
1136,135.37,C,19
1137,500.13,E,32
1138,826.45,C,84
1139,261.96,E,18
1140,10.53,C,60
1141,71.15,B,49
1142,382.64,A,36
1143,28.13,C,75
1144,977.15,A,91
1145,545.87,B,82
1146,670.34,A,12
1147,81.86,E,27
1148,637.14,E,41
1149,329.99,D,41
1150,510.02,E,31
1151,990.21,E,95
1152,408.36,C,56
1153,396.23,C,82
1154,805.37,C,31
1155,997.22,A,56
1156,283.76,E,65
1157,84.75,E,15
1158,117.68,C,88
1159,650.34,D,78
1160,395.03,C,72
1161,124.13,B,90
1162,472.90,D,23
1163,799.30,D,44
1164,232.82,E,12
1165,677.68,B,42
1166,597.54,C,27
1167,372.37,D,96
1168,12.08,A,36
1169,854.01,D,71
1170,265.30,E,72
1171,566.82,D,80
1172,172.51,A,76
1173,270.48,B,100
1174,867.67,A,58
1175,972.69,B,46
1176,147.94,E,26
1177,978.32,A,71
1178,262.58,C,73
1179,892.06,C,88
1180,986.15,C,70
1181,166.07,D,73
1182,82.32,D,92
1183,633.42,A,10
1184,658.27,C,55
1185,858.71,C,58
1186,311.54,A,55
1187,817.33,E,98
1188,189.57,D,62
1189,571.76,A,95
1190,845.39,B,73
1191,764.45,E,96
1192,305.01,A,72
1193,322.56,E,93
1194,885.33,A,89
1195,459.48,B,73
1196,389.20,A,76
1197,907.73,A,96
1198,570.03,C,52
1199,38.97,D,72
1200,662.46,D,100
1201,872.31,E,9
1202,570.39,D,3
1203,868.16,E,18
1204,863.81,B,35
1205,11.83,C,42
1206,673.51,E,98
1207,815.43,C,80
1208,411.02,C,45
1209,639.71,C,25
1210,6.14,D,35
1211,777.60,E,48
1212,923.40,E,52
1213,856.30,E,74
1214,786.12,C,39
1215,126.19,B,64
1216,787.06,B,10
1217,776.64,A,45
1218,170.35,D,14
1219,275.24,B,92
1220,877.31,E,13
1221,565.91,E,12
1222,448.70,A,40
1223,211.59,C,72
1224,148.53,A,32
1225,886.71,B,47
1226,655.27,B,12
1227,374.90,A,30
1228,748.38,B,15
1229,146.23,B,24
1230,50.19,C,22
1231,893.23,A,57
1232,998.78,B,5
1233,292.62,B,94
1234,994.75,C,44
1235,581.42,B,40
1236,67.19,E,61
1237,630.57,C,95
1238,752.11,A,61
1239,801.00,E,4
1240,369.89,E,63
1241,165.41,E,72
1242,279.93,A,54
1243,268.56,D,72
1244,358.10,C,81
1245,128.48,A,71
1246,602.05,D,19
1247,560.26,A,67
1248,381.40,D,1
1249,716.61,D,37
1250,712.72,A,77
1251,515.38,B,99
1252,801.63,A,39
1253,631.00,C,47
1254,511.12,E,56
1255,897.91,B,27
1256,777.19,B,78
1257,12.98,B,50
1258,517.93,D,44
1259,730.69,E,71
1260,215.18,C,15
1261,613.53,A,84
1262,286.73,E,30
1263,897.76,A,29
1264,588.75,A,25
1265,987.81,B,84
1266,189.60,C,21
1267,640.12,B,11
1268,406.03,E,22
1269,371.69,C,97
1270,885.86,E,84
1271,183.77,A,2
1272,248.53,E,13
1273,690.41,A,88
1274,731.42,A,73
1275,86.32,D,31
1276,494.92,A,79
1277,744.00,E,82
1278,214.31,C,37
1279,676.69,A,38
1280,284.10,E,24
1281,756.54,E,32
1282,352.00,D,85
1283,356.27,E,76
1284,125.80,A,2
1285,373.81,A,66
1286,125.01,A,79
1287,667.45,E,27
1288,406.37,C,89
1289,311.00,E,78
1290,869.26,A,97
1291,660.49,C,41
1292,648.68,B,8
1293,916.90,B,83
1294,749.04,D,16
1295,302.55,C,77
1296,414.74,E,14
1297,925.99,B,30
1298,279.83,E,23
1299,59.45,B,48
1300,888.29,C,47
1301,72.13,B,27
1302,643.63,A,55
1303,667.74,D,21
1304,166.14,A,35
1305,218.77,B,17
1306,205.72,D,85
1307,772.12,C,81
1308,809.03,E,56
1309,563.45,D,12
1310,196.27,D,96
1311,626.95,C,8
1312,842.95,D,12
1313,404.67,E,54
1314,265.60,D,3
1315,943.57,B,35
1316,19.14,C,74
1317,24.32,E,8
1318,794.84,A,51
1319,184.75,C,54
1320,447.79,A,9
1321,734.62,B,23
1322,403.55,B,8
1323,302.77,B,34
1324,333.52,E,23
1325,475.86,C,62
1326,783.14,C,76
1327,26.44,B,51
1328,415.56,B,47
1329,404.33,E,3
1330,396.19,B,0
1331,835.39,C,60
1332,386.43,D,75
1333,64.81,C,85
1334,761.78,D,47
1335,816.48,D,21
1336,185.21,D,36
1337,354.47,E,18
1338,482.38,E,17
1339,981.71,E,34
1340,634.79,B,16
1341,929.96,C,71
1342,596.51,A,40
1343,547.53,E,26
1344,150.09,A,35
1345,581.97,A,20
1346,683.20,A,5
1347,506.46,A,2
1348,560.88,B,85
1349,458.03,B,76
1350,652.98,E,19
1351,306.53,E,68
1352,529.05,A,81
1353,179.84,C,78
1354,877.55,A,58
1355,531.67,C,51
1356,460.78,E,75
1357,662.10,B,62
1358,886.46,B,17
1359,170.44,C,99
1360,455.38,B,12
1361,792.66,D,13
